Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1.3394299745559692,1.3645999431610107,1.3263100385665894,1.3394299745559692,1.3394299745559692,0
2019-01-02,1.3624999523162842,1.3659600019454956,1.3568999767303467,1.3625400066375732,1.3625400066375732,0
2019-01-03,1.3630000352859497,1.364400029182434,1.3473600149154663,1.3631199598312378,1.3631199598312378,0
2019-01-04,1.347599983215332,1.34906005859375,1.3381400108337402,1.3478800058364868,1.3478800058364868,0
2019-01-07,1.3368899822235107,1.3375999927520752,1.328819990158081,1.3369300365447998,1.3369300365447998,0
2019-01-08,1.3296699523925781,1.3319000005722046,1.32669997215271,1.3295999765396118,1.3295999765396118,0
2019-01-09,1.324779987335205,1.325410008430481,1.318019986152649,1.3246999979019165,1.3246999979019165,0
2019-01-10,1.3213200569152832,1.3256299495697021,1.3207000494003296,1.3211499452590942,1.3211499452590942,0
2019-01-11,1.3236299753189087,1.3273799419403076,1.3180999755859375,1.3238999843597412,1.3238999843597412,0
2019-01-14,1.3267099857330322,1.3297100067138672,1.3252999782562256,1.326740026473999,1.326740026473999,0
2019-01-15,1.3275799751281738,1.3282400369644165,1.3226799964904785,1.3276100158691406,1.3276100158691406,0
2019-01-16,1.3259999752044678,1.3283400535583496,1.3234800100326538,1.3259600400924683,1.3259600400924683,0
2019-01-17,1.326050043106079,1.3318300247192383,1.3254799842834473,1.3258700370788574,1.3258700370788574,0
2019-01-18,1.328070044517517,1.328160047531128,1.3236199617385864,1.3280199766159058,1.3280199766159058,0
2019-01-21,1.3274999856948853,1.3316199779510498,1.3253999948501587,1.3274999856948853,1.3274999856948853,0
2019-01-22,1.329699993133545,1.3352199792861938,1.3294999599456787,1.3294999599456787,1.3294999599456787,0
2019-01-23,1.335569977760315,1.3367400169372559,1.3305200338363647,1.3356000185012817,1.3356000185012817,0
2019-01-24,1.333799958229065,1.337399959564209,1.3327000141143799,1.3341100215911865,1.3341100215911865,0
2019-01-25,1.3351600170135498,1.3356000185012817,1.3237899541854858,1.3350499868392944,1.3350499868392944,0
2019-01-28,1.3221999406814575,1.3284599781036377,1.320199966430664,1.322100043296814,1.322100043296814,0
